image_path,label,label_encoded
resized_images\img_0.jpg,Pomegranate_Good,11
resized_images\img_1.jpg,Pomegranate_Good,11
resized_images\img_2.jpg,Pomegranate_Good,11
resized_images\img_3.jpg,Pomegranate_Good,11
resized_images\img_4.jpg,Pomegranate_Good,11
resized_images\img_5.jpg,Pomegranate_Good,11
resized_images\img_6.jpg,Pomegranate_Good,11
resized_images\img_7.jpg,Pomegranate_Good,11
resized_images\img_8.jpg,Pomegranate_Good,11
resized_images\img_9.jpg,Pomegranate_Good,11
resized_images\img_10.jpg,Pomegranate_Good,11
resized_images\img_11.jpg,Pomegranate_Good,11
resized_images\img_12.jpg,Pomegranate_Good,11
resized_images\img_13.jpg,Pomegranate_Good,11
resized_images\img_14.jpg,Pomegranate_Good,11
resized_images\img_15.jpg,Pomegranate_Good,11
resized_images\img_16.jpg,Pomegranate_Good,11
resized_images\img_17.jpg,Pomegranate_Good,11
resized_images\img_18.jpg,Pomegranate_Good,11
resized_images\img_19.jpg,Pomegranate_Good,11
resized_images\img_20.jpg,Pomegranate_Good,11
resized_images\img_21.jpg,Pomegranate_Good,11
resized_images\img_22.jpg,Pomegranate_Good,11
resized_images\img_23.jpg,Pomegranate_Good,11
resized_images\img_24.jpg,Pomegranate_Good,11
resized_images\img_25.jpg,Pomegranate_Good,11
resized_images\img_26.jpg,Pomegranate_Good,11
resized_images\img_27.jpg,Pomegranate_Good,11
resized_images\img_28.jpg,Pomegranate_Good,11
resized_images\img_29.jpg,Pomegranate_Good,11
resized_images\img_30.jpg,Pomegranate_Good,11
resized_images\img_31.jpg,Pomegranate_Good,11
resized_images\img_32.jpg,Pomegranate_Good,11
resized_images\img_33.jpg,Pomegranate_Good,11
resized_images\img_34.jpg,Pomegranate_Good,11
resized_images\img_35.jpg,Pomegranate_Good,11
resized_images\img_36.jpg,Pomegranate_Good,11
resized_images\img_37.jpg,Pomegranate_Good,11
resized_images\img_38.jpg,Pomegranate_Good,11
resized_images\img_39.jpg,Pomegranate_Good,11
resized_images\img_40.jpg,Pomegranate_Good,11
resized_images\img_41.jpg,Pomegranate_Good,11
resized_images\img_42.jpg,Pomegranate_Good,11
resized_images\img_43.jpg,Pomegranate_Good,11
resized_images\img_44.jpg,Pomegranate_Good,11
resized_images\img_45.jpg,Pomegranate_Good,11
resized_images\img_46.jpg,Pomegranate_Good,11
resized_images\img_47.jpg,Pomegranate_Good,11
resized_images\img_48.jpg,Pomegranate_Good,11
resized_images\img_49.jpg,Pomegranate_Good,11
resized_images\img_50.jpg,Pomegranate_Good,11
resized_images\img_51.jpg,Pomegranate_Good,11
resized_images\img_52.jpg,Pomegranate_Good,11
resized_images\img_53.jpg,Pomegranate_Good,11
resized_images\img_54.jpg,Pomegranate_Good,11
resized_images\img_55.jpg,Pomegranate_Good,11
resized_images\img_56.jpg,Pomegranate_Good,11
resized_images\img_57.jpg,Pomegranate_Good,11
resized_images\img_58.jpg,Pomegranate_Good,11
resized_images\img_59.jpg,Pomegranate_Good,11
resized_images\img_60.jpg,Pomegranate_Good,11
resized_images\img_61.jpg,Pomegranate_Good,11
resized_images\img_62.jpg,Pomegranate_Good,11
resized_images\img_63.jpg,Pomegranate_Good,11
resized_images\img_64.jpg,Pomegranate_Good,11
resized_images\img_65.jpg,Pomegranate_Good,11
resized_images\img_66.jpg,Pomegranate_Good,11
resized_images\img_67.jpg,Pomegranate_Good,11
resized_images\img_68.jpg,Pomegranate_Good,11
resized_images\img_69.jpg,Pomegranate_Good,11
resized_images\img_70.jpg,Pomegranate_Good,11
